Location Name,Lat,Long,Datetime,Parameter,Member,Value
rail,54.28125,-1.546875,2022-07-10T11:00:00,air_temperature,23,295.76562
rail,54.28125,-1.265625,2022-07-10T11:00:00,air_temperature,23,296.23438
rail,54.46875,-1.546875,2022-07-10T11:00:00,air_temperature,23,295.64062
rail,54.65625,-1.546875,2022-07-10T11:00:00,air_temperature,23,295.10938
rail,54.84375,-1.546875,2022-07-10T11:00:00,air_temperature,23,294.20312
rail,55.03125,-1.546875,2022-07-10T11:00:00,air_temperature,23,286.42188
rail,55.21875,-1.546875,2022-07-10T11:00:00,air_temperature,23,294.60938
rail,55.40625,-1.828125,2022-07-10T11:00:00,air_temperature,23,295.45312
rail,55.40625,-1.546875,2022-07-10T11:00:00,air_temperature,23,287.82812
rail,55.59375,-1.828125,2022-07-10T11:00:00,air_temperature,23,295.29688
rail,55.78125,-2.390625,2022-07-10T11:00:00,air_temperature,23,293.92188
rail,55.78125,-2.109375,2022-07-10T11:00:00,air_temperature,23,294.76562
rail,55.78125,-1.828125,2022-07-10T11:00:00,air_temperature,23,289.54688
rail,55.96875,-3.234375,2022-07-10T11:00:00,air_temperature,23,292.85938
rail,55.96875,-2.953125,2022-07-10T11:00:00,air_temperature,23,293.29688
rail,55.96875,-2.671875,2022-07-10T11:00:00,air_temperature,23,287.79688
rail,55.96875,-2.390625,2022-07-10T11:00:00,air_temperature,23,288.32812
rail,51.65625,-0.140625,2022-07-10T12:00:00,air_temperature,23,296.60938
rail,51.84375,-0.140625,2022-07-10T12:00:00,air_temperature,23,296.39062
rail,52.03125,-0.140625,2022-07-10T12:00:00,air_temperature,23,296.76562
rail,52.21875,-0.421875,2022-07-10T12:00:00,air_temperature,23,297.29688
rail,52.21875,-0.140625,2022-07-10T12:00:00,air_temperature,23,297.76562
rail,52.40625,-0.140625,2022-07-10T12:00:00,air_temperature,23,298.14062
rail,52.59375,-0.421875,2022-07-10T12:00:00,air_temperature,23,297.57812
rail,52.59375,-0.140625,2022-07-10T12:00:00,air_temperature,23,297.89062
rail,52.78125,-0.703125,2022-07-10T12:00:00,air_temperature,23,297.48438
rail,52.78125,-0.421875,2022-07-10T12:00:00,air_temperature,23,298.04688
rail,52.96875,-0.703125,2022-07-10T12:00:00,air_temperature,23,297.45312
rail,53.15625,-0.984375,2022-07-10T12:00:00,air_temperature,23,296.54688
rail,53.15625,-0.703125,2022-07-10T12:00:00,air_temperature,23,296.82812
rail,53.34375,-0.984375,2022-07-10T12:00:00,air_temperature,23,296.98438
rail,53.53125,-0.984375,2022-07-10T12:00:00,air_temperature,23,297.10938
rail,53.71875,-1.265625,2022-07-10T12:00:00,air_temperature,23,297.35938
rail,53.71875,-0.984375,2022-07-10T12:00:00,air_temperature,23,297.32812
rail,53.90625,-1.265625,2022-07-10T12:00:00,air_temperature,23,297.45312
rail,53.90625,-0.984375,2022-07-10T12:00:00,air_temperature,23,296.85938
rail,54.09375,-1.265625,2022-07-10T12:00:00,air_temperature,23,297.26562
rail,54.28125,-1.546875,2022-07-10T12:00:00,air_temperature,23,296.39062
rail,54.28125,-1.265625,2022-07-10T12:00:00,air_temperature,23,296.85938
rail,54.46875,-1.546875,2022-07-10T12:00:00,air_temperature,23,296.26562
rail,54.65625,-1.546875,2022-07-10T12:00:00,air_temperature,23,295.82812
rail,54.84375,-1.546875,2022-07-10T12:00:00,air_temperature,23,295.14062
rail,55.03125,-1.546875,2022-07-10T12:00:00,air_temperature,23,286.57812
rail,55.21875,-1.546875,2022-07-10T12:00:00,air_temperature,23,295.14062
rail,55.40625,-1.828125,2022-07-10T12:00:00,air_temperature,23,296.17188
rail,55.40625,-1.546875,2022-07-10T12:00:00,air_temperature,23,288.45312
rail,55.59375,-1.828125,2022-07-10T12:00:00,air_temperature,23,295.92188
rail,55.78125,-2.390625,2022-07-10T12:00:00,air_temperature,23,294.17188
rail,55.78125,-2.109375,2022-07-10T12:00:00,air_temperature,23,295.42188
rail,55.78125,-1.828125,2022-07-10T12:00:00,air_temperature,23,289.45312
rail,55.96875,-3.234375,2022-07-10T12:00:00,air_temperature,23,293.82812
rail,55.96875,-2.953125,2022-07-10T12:00:00,air_temperature,23,293.92188
rail,55.96875,-2.671875,2022-07-10T12:00:00,air_temperature,23,287.95312
rail,55.96875,-2.390625,2022-07-10T12:00:00,air_temperature,23,288.48438
rail,51.65625,-0.140625,2022-07-10T13:00:00,air_temperature,23,297.51562
rail,51.84375,-0.140625,2022-07-10T13:00:00,air_temperature,23,297.04688
rail,52.03125,-0.140625,2022-07-10T13:00:00,air_temperature,23,297.42188
rail,52.21875,-0.421875,2022-07-10T13:00:00,air_temperature,23,298.07812
rail,52.21875,-0.140625,2022-07-10T13:00:00,air_temperature,23,298.42188
rail,52.40625,-0.140625,2022-07-10T13:00:00,air_temperature,23,298.85938
rail,52.59375,-0.421875,2022-07-10T13:00:00,air_temperature,23,298.32812
